[sync-debug] upsert_settings skipped older row {'user_id': 3, 'key': 'tts_enabled_user_3', 'incoming_updated_at': 'ms=1775427601560 | ist=2026-04-06 03:50:01.560000+05:30', 'existing_updated_at': 'ms=1775427634872 | ist=2026-04-06 03:50:34.872000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings incoming {'user_id': 3, 'key': 'tts_enabled_user_3', 'value': '0', 'updated_at': 'ms=1775427634872 | ist=2026-04-06 03:50:34.872000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings skipped older row {'user_id': 3, 'key': 'tts_enabled_user_3', 'incoming_updated_at': 'ms=1775427634872 | ist=2026-04-06 03:50:34.872000+05:30', 'existing_updated_at': 'ms=1775427634872 | ist=2026-04-06 03:50:34.872000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings incoming {'user_id': 3, 'key': 'tts_enabled_user_3', 'value': '0', 'updated_at': 'ms=1775427634872 | ist=2026-04-06 03:50:34.872000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings skipped older row {'user_id': 3, 'key': 'tts_enabled_user_3', 'incoming_updated_at': 'ms=1775427634872 | ist=2026-04-06 03:50:34.872000+05:30', 'existing_updated_at': 'ms=1775427634872 | ist=2026-04-06 03:50:34.872000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings incoming {'user_id': 3, 'key': 'tts_enabled_user_3', 'value': '0', 'updated_at': 'ms=1775427634872 | ist=2026-04-06 03:50:34.872000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings skipped older row {'user_id': 3, 'key': 'tts_enabled_user_3', 'incoming_updated_at': 'ms=1775427634872 | ist=2026-04-06 03:50:34.872000+05:30', 'existing_updated_at': 'ms=1775427634872 | ist=2026-04-06 03:50:34.872000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings incoming {'user_id': 3, 'key': 'tts_enabled_user_3', 'value': '0', 'updated_at': 'ms=1775427634872 | ist=2026-04-06 03:50:34.872000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings skipped older row {'user_id': 3, 'key': 'tts_enabled_user_3', 'incoming_updated_at': 'ms=1775427634872 | ist=2026-04-06 03:50:34.872000+05:30', 'existing_updated_at': 'ms=1775427634872 | ist=2026-04-06 03:50:34.872000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings incoming {'user_id': 3, 'key': 'tts_enabled_user_3', 'value': '1', 'updated_at': 'ms=1775427671839 | ist=2026-04-06 03:51:11.839000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings stored row {'user_id': 3, 'key': 'tts_enabled_user_3', 'value': '1', 'updated_at': 'ms=1775427671839 | ist=2026-04-06 03:51:11.839000+05:30', 'sync_version': 1, 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings incoming {'user_id': 3, 'key': 'tts_enabled_user_3', 'value': '0', 'updated_at': 'ms=1775427679140 | ist=2026-04-06 03:51:19.140000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings stored row {'user_id': 3, 'key': 'tts_enabled_user_3', 'value': '0', 'updated_at': 'ms=1775427679140 | ist=2026-04-06 03:51:19.140000+05:30', 'sync_version': 1, 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings incoming {'user_id': 3, 'key': 'tts_enabled_user_3', 'value': '0', 'updated_at': 'ms=1775427634872 | ist=2026-04-06 03:50:34.872000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings skipped older row {'user_id': 3, 'key': 'tts_enabled_user_3', 'incoming_updated_at': 'ms=1775427634872 | ist=2026-04-06 03:50:34.872000+05:30', 'existing_updated_at': 'ms=1775427679140 | ist=2026-04-06 03:51:19.140000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings incoming {'user_id': 3, 'key': 'tts_enabled_user_3', 'value': '0', 'updated_at': 'ms=1775427679140 | ist=2026-04-06 03:51:19.140000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings skipped older row {'user_id': 3, 'key': 'tts_enabled_user_3', 'incoming_updated_at': 'ms=1775427679140 | ist=2026-04-06 03:51:19.140000+05:30', 'existing_updated_at': 'ms=1775427679140 | ist=2026-04-06 03:51:19.140000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings incoming {'user_id': 3, 'key': 'tts_enabled_user_3', 'value': '0', 'updated_at': 'ms=1775427679140 | ist=2026-04-06 03:51:19.140000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings skipped older row {'user_id': 3, 'key': 'tts_enabled_user_3', 'incoming_updated_at': 'ms=1775427679140 | ist=2026-04-06 03:51:19.140000+05:30', 'existing_updated_at': 'ms=1775427679140 | ist=2026-04-06 03:51:19.140000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings incoming {'user_id': 3, 'key': 'tts_enabled_user_3', 'value': '0', 'updated_at': 'ms=1775427679140 | ist=2026-04-06 03:51:19.140000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings skipped older row {'user_id': 3, 'key': 'tts_enabled_user_3', 'incoming_updated_at': 'ms=1775427679140 | ist=2026-04-06 03:51:19.140000+05:30', 'existing_updated_at': 'ms=1775427679140 | ist=2026-04-06 03:51:19.140000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings incoming {'user_id': 3, 'key': 'tts_enabled_user_3', 'value': '0', 'updated_at': 'ms=1775427679140 | ist=2026-04-06 03:51:19.140000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings skipped older row {'user_id': 3, 'key': 'tts_enabled_user_3', 'incoming_updated_at': 'ms=1775427679140 | ist=2026-04-06 03:51:19.140000+05:30', 'existing_updated_at': 'ms=1775427679140 | ist=2026-04-06 03:51:19.140000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings incoming {'user_id': 3, 'key': 'tts_enabled_user_3', 'value': '0', 'updated_at': 'ms=1775427679140 | ist=2026-04-06 03:51:19.140000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings skipped older row {'user_id': 3, 'key': 'tts_enabled_user_3', 'incoming_updated_at': 'ms=1775427679140 | ist=2026-04-06 03:51:19.140000+05:30', 'existing_updated_at': 'ms=1775427679140 | ist=2026-04-06 03:51:19.140000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
[sync-debug] upsert_settings incoming {'user_id': 3, 'key': 'tts_enabled_user_3', 'value': '0', 'updated_at': 'ms=1775427679140 | ist=2026-04-06 03:51:19.140000+05:30', 'client_device': 'eshu_s22 (device_eshu_s22)'}
